quarter,industry,employment,avg_hourly_wage,total_wages
2017Q2,public,50330,31.2,20412728.89
2017Q3,public,50141,31.93,20811445.88
2017Q4,public,50053,31.57,20540025.52
2018Q1,public,49798,30.55,19775938.98
2018Q2,public,50459,31.48,20651643.39
2018Q3,public,50337,29.94,19595213.88
2018Q4,public,49496,31.87,20506619.68
2019Q1,public,50421,31.59,20707949.05
2019Q2,public,51180,31.27,20805253.64
2019Q3,public,51525,31.87,21344628.4
2019Q4,public,50691,31.87,21000628.63
2020Q1,public,51405,30.68,20503509.5
2020Q2,public,51783,31.48,21189986.5
2020Q3,public,51870,30.9,20836642.42
2020Q4,public,50655,30.69,20211996.85
2021Q1,public,50420,30.78,20173356.38
2021Q2,public,51671,31.31,21031697.68
2021Q3,public,50126,31.47,20509762.95
2021Q4,public,50625,31.29,20591023.55
2022Q1,public,51210,31.61,21041149.97
2022Q2,public,52105,31.69,21468484.04
2022Q3,public,53136,31.58,21816109.47
2022Q4,public,53839,31.04,21725941.48
2023Q1,public,54385,31.38,22187188.39
2023Q2,public,52913,30.72,21129272.81
2023Q3,public,51505,30.84,20651279.11
2023Q4,public,52447,31.36,21380778.19
2024Q1,public,51742,31.2,20986506.33
2024Q2,public,51858,31.0,20899570.43
2024Q3,public,51169,31.12,20703959.17
2024Q4,public,51878,31.24,21069587.75
