age,income_k,loan_amount_k,dti,fico,revolving_util,num_derog,months_employed,num_inq_6mo,home_owner,loan_purpose,credit_score,default
41,71.3,25.3,1.0,562,43.2,1,11,1,1,other,696,0
24,130.6,15.6,1.0,490,25.6,1,28,2,1,auto,693,0
37,40.3,84.1,2.5,850,12.9,1,43,1,0,home_improvement,748,1
18,76.7,34.6,1.0,607,35.7,0,65,0,0,medical,733,0
54,133.0,11.0,1.0,707,24.4,1,122,0,0,debt_consolidation,770,0
37,63.8,29.4,1.0,604,22.0,2,92,0,1,other,705,0
33,32.1,6.6,1.0,696,35.0,1,66,1,0,debt_consolidation,740,0
54,28.0,82.4,3.5,734,24.1,2,12,2,1,debt_consolidation,692,0
22,38.7,83.6,2.6,711,10.6,0,20,0,1,auto,735,0
48,64.8,9.1,1.0,711,24.1,0,42,2,0,other,757,0
18,28.5,26.2,1.1,677,21.2,0,2,0,0,home_improvement,749,0
34,78.2,14.6,1.0,630,13.8,0,54,3,1,other,729,0
27,28.7,100.0,4.2,677,9.3,1,79,1,1,other,700,0
59,71.0,100.0,1.7,652,49.3,0,122,1,0,other,706,1
63,83.5,27.9,1.0,647,15.1,1,1,1,1,auto,728,0
38,35.5,83.0,2.8,641,8.2,0,35,0,1,home_improvement,719,0
52,122.4,8.5,1.0,633,24.8,1,10,0,1,debt_consolidation,744,0
39,44.0,10.9,1.0,822,25.1,0,0,0,1,debt_consolidation,788,0
48,15.0,12.8,1.0,850,56.8,1,22,2,1,debt_consolidation,751,0
32,52.0,5.6,1.0,669,27.7,0,10,3,1,auto,733,0
21,68.4,53.4,1.0,639,13.4,0,191,1,1,debt_consolidation,730,1
20,41.6,12.7,1.0,587,12.3,0,67,0,0,medical,740,0
46,76.5,13.8,1.0,744,57.8,0,76,3,0,auto,748,0
68,118.7,61.6,1.0,807,49.5,0,13,3,1,debt_consolidation,746,0
45,64.4,17.5,1.0,749,41.5,0,62,0,1,home_improvement,768,0
35,71.6,33.5,1.0,623,41.6,0,95,1,1,debt_consolidation,725,0
64,96.8,38.1,1.0,774,10.1,0,3,1,0,home_improvement,773,0
44,55.9,66.5,1.4,695,27.4,1,47,2,0,debt_consolidation,710,0
43,85.5,11.5,1.0,773,35.9,0,15,3,0,other,762,0
45,50.1,16.8,1.0,619,21.5,0,44,0,1,home_improvement,740,0
40,29.8,19.9,1.0,757,81.5,1,84,2,1,home_improvement,723,0
38,64.3,19.9,1.0,710,14.0,0,32,1,0,home_improvement,761,0
24,37.9,13.9,1.0,640,29.5,0,50,4,1,home_improvement,713,0
48,51.1,31.0,1.0,580,46.7,2,122,0,1,other,688,1
40,53.1,15.7,1.0,750,4.6,0,103,0,1,debt_consolidation,780,0
56,63.0,52.4,1.0,681,18.7,0,32,0,0,debt_consolidation,745,0
37,16.9,8.4,1.0,708,52.2,1,33,1,1,debt_consolidation,728,0
19,53.3,42.9,1.0,688,72.3,1,57,0,0,auto,718,0
40,30.1,7.8,1.0,679,17.5,0,92,5,0,debt_consolidation,727,0
62,31.4,35.7,1.4,723,33.8,0,5,0,0,debt_consolidation,754,0
37,102.3,52.9,1.0,850,12.8,2,49,0,0,other,763,0
31,28.5,5.8,1.0,718,61.9,0,80,0,1,debt_consolidation,755,0
27,112.3,17.3,1.0,594,20.8,0,48,1,1,auto,737,0
29,36.3,8.7,1.0,695,52.4,1,33,2,0,home_improvement,724,0
38,89.6,55.3,1.0,641,32.8,1,43,1,1,other,706,0
27,76.6,32.0,1.0,603,12.5,0,8,0,1,debt_consolidation,733,0
59,41.1,48.2,1.4,768,70.2,1,31,2,1,debt_consolidation,717,0
38,91.9,32.7,1.0,697,34.1,0,23,2,1,home_improvement,739,0
43,15.0,35.4,2.8,487,10.1,0,120,2,1,other,689,0
59,60.6,30.1,1.0,773,25.0,0,45,1,0,debt_consolidation,770,0
60,49.4,9.1,1.0,838,43.1,0,37,1,1,other,783,0
39,80.9,15.7,1.0,689,43.5,0,19,2,1,auto,741,0
45,41.2,46.0,1.3,708,35.9,2,56,2,0,debt_consolidation,702,0
50,65.5,64.4,1.2,705,26.1,0,61,0,0,debt_consolidation,744,1
39,46.8,14.6,1.0,729,42.8,1,108,1,0,home_improvement,745,0
20,77.1,35.1,1.0,657,35.0,1,10,1,1,debt_consolidation,718,0
49,85.3,45.1,1.0,593,20.6,1,17,0,1,debt_consolidation,710,1
52,26.0,7.5,1.0,640,12.9,1,120,1,0,home_improvement,733,0
46,150.8,11.4,1.0,761,29.4,0,22,2,1,debt_consolidation,776,0
30,52.5,12.0,1.0,745,16.9,1,58,2,1,home_improvement,744,0
39,177.9,79.3,1.0,767,20.8,0,19,0,1,debt_consolidation,763,0
34,39.9,43.1,1.3,672,11.1,0,22,0,0,auto,746,0
38,56.2,14.7,1.0,729,12.1,2,101,1,1,auto,734,0
57,119.9,24.0,1.0,504,33.3,0,40,0,1,medical,720,0
60,46.0,33.5,1.0,470,29.4,0,25,1,0,auto,691,0
50,95.9,55.4,1.0,836,36.3,1,16,1,0,home_improvement,758,0
48,47.7,26.9,1.0,698,44.9,0,38,0,1,home_improvement,749,0
50,58.7,100.0,2.0,695,18.9,0,32,1,0,home_improvement,721,0
41,51.7,20.3,1.0,725,41.5,2,48,0,1,debt_consolidation,727,0
41,61.9,44.5,1.0,795,50.8,0,21,4,0,debt_consolidation,737,0
33,163.9,20.7,1.0,716,40.5,1,26,0,0,other,763,0
41,38.2,14.0,1.0,786,17.0,0,110,2,1,debt_consolidation,769,0
69,64.3,23.6,1.0,805,26.2,0,35,2,1,other,771,0
52,46.0,25.6,1.0,687,15.9,0,14,1,1,home_improvement,746,0
37,56.7,34.4,1.0,717,19.9,0,69,1,1,auto,751,0
36,55.2,25.9,1.0,668,49.2,1,31,0,0,medical,730,0
31,58.6,92.3,1.9,580,29.9,0,12,0,1,medical,696,0
46,73.8,19.8,1.0,661,38.2,0,104,0,1,debt_consolidation,750,0
46,184.9,44.8,1.0,739,6.6,0,6,0,1,home_improvement,783,0
24,24.9,16.8,1.0,809,69.9,0,9,0,0,debt_consolidation,770,0
47,49.5,12.5,1.0,724,32.7,0,81,1,1,medical,759,0
35,71.8,23.0,1.0,737,16.4,0,6,3,1,debt_consolidation,747,0
59,112.7,22.3,1.0,749,24.6,0,50,1,1,debt_consolidation,773,0
43,26.9,15.9,1.0,604,22.8,1,36,2,1,other,703,0
62,183.4,44.8,1.0,644,56.7,0,52,0,1,home_improvement,748,0
36,80.3,9.8,1.0,705,14.6,1,0,1,1,home_improvement,747,0
38,175.3,83.2,1.0,634,9.9,1,5,0,0,home_improvement,724,0
45,90.1,45.7,1.0,634,14.2,0,10,3,1,debt_consolidation,718,0
54,57.9,25.6,1.0,596,15.3,0,14,3,0,debt_consolidation,715,0
48,39.6,14.8,1.0,715,27.7,0,88,0,0,home_improvement,766,0
27,65.4,16.8,1.0,627,32.9,0,30,1,0,other,738,0
44,64.4,17.6,1.0,613,21.2,0,52,1,0,other,740,0
42,24.9,26.1,1.3,636,49.9,0,42,1,1,other,721,0
36,58.6,23.5,1.0,825,30.3,0,36,1,0,medical,781,0
34,46.4,35.2,1.0,723,8.4,0,12,0,0,auto,762,0
62,69.2,15.4,1.0,666,31.7,0,24,1,1,auto,745,0
37,29.2,27.6,1.1,538,31.7,0,10,0,0,home_improvement,713,0
31,33.4,12.3,1.0,707,51.5,1,61,2,1,home_improvement,722,0
49,42.2,16.5,1.0,746,18.2,1,90,2,1,debt_consolidation,743,0
43,64.6,69.6,1.3,719,38.5,0,56,0,0,auto,742,0
41,37.1,17.1,1.0,831,58.7,1,234,2,1,medical,754,0
51,19.1,38.3,2.4,729,26.5,1,3,0,0,debt_consolidation,741,0
47,26.1,55.4,2.5,757,29.3,0,37,0,0,other,755,0
46,89.6,6.0,1.0,629,27.5,0,21,2,0,debt_consolidation,743,0
53,79.4,25.1,1.0,628,56.3,0,14,0,0,other,736,0
45,48.4,51.8,1.3,663,40.6,0,31,0,1,home_improvement,729,0
34,74.3,94.4,1.5,771,22.8,1,31,0,0,debt_consolidation,732,0
37,34.2,26.5,1.0,621,28.7,1,33,0,0,debt_consolidation,720,0
35,42.6,32.1,1.0,676,33.3,0,16,2,0,other,731,0
44,44.9,29.8,1.0,765,32.0,1,104,2,0,home_improvement,742,0
29,103.7,17.0,1.0,771,31.2,0,125,3,1,debt_consolidation,761,0
20,56.5,44.7,1.0,700,38.7,0,57,1,1,home_improvement,736,0
43,30.8,21.3,1.0,736,25.9,0,88,3,1,auto,742,0
25,47.8,6.4,1.0,714,46.3,0,61,0,0,debt_consolidation,765,0
18,39.1,49.1,1.5,704,35.8,0,19,3,0,home_improvement,721,0
46,92.3,23.9,1.0,702,19.2,2,4,2,1,debt_consolidation,717,0
33,73.9,55.6,1.0,769,19.5,0,23,1,1,medical,754,1
47,68.0,30.2,1.0,686,58.0,1,0,0,0,other,731,0
35,38.5,53.8,1.7,675,11.4,0,15,2,0,debt_consolidation,728,0
28,87.2,19.4,1.0,695,14.6,1,16,0,1,debt_consolidation,750,0
27,75.4,5.4,1.0,669,61.9,0,15,2,0,debt_consolidation,737,0
35,22.6,38.4,2.0,650,50.8,0,19,2,0,auto,716,0
38,51.0,5.9,1.0,676,23.6,0,32,0,1,home_improvement,760,0
32,65.0,27.7,1.0,694,41.3,0,1,1,1,home_improvement,741,0
38,59.6,33.1,1.0,768,32.9,0,61,0,0,debt_consolidation,770,0
23,60.6,15.3,1.0,600,19.9,0,59,3,1,debt_consolidation,717,0
42,66.0,63.2,1.2,741,10.8,1,114,2,1,debt_consolidation,726,0
20,89.3,15.2,1.0,693,21.6,0,46,3,1,medical,743,0
39,87.4,16.4,1.0,671,5.7,0,34,0,1,auto,764,0
50,58.5,62.9,1.3,697,49.3,0,173,0,1,home_improvement,737,0
55,31.8,33.4,1.3,772,10.0,0,18,2,1,other,755,0
62,16.1,47.4,3.5,756,42.5,1,144,1,1,medical,734,0
23,30.5,10.6,1.0,601,21.7,1,28,2,1,home_improvement,704,0
51,45.6,6.9,1.0,764,47.0,0,11,1,0,debt_consolidation,768,0
56,66.8,30.0,1.0,706,8.8,0,6,2,1,debt_consolidation,746,0
53,161.4,38.2,1.0,686,25.4,1,48,1,1,debt_consolidation,743,0
30,81.6,29.8,1.0,644,18.8,0,19,1,1,debt_consolidation,740,0
46,26.6,42.7,1.9,652,21.6,0,104,3,0,debt_consolidation,719,0
64,73.9,64.7,1.1,687,41.8,0,27,0,0,home_improvement,737,0
24,37.7,26.6,1.0,535,35.9,1,22,1,1,debt_consolidation,686,0
47,32.3,40.5,1.5,717,10.6,2,24,0,1,debt_consolidation,723,0
55,43.3,10.2,1.0,661,15.3,0,83,0,0,other,760,0
33,89.2,48.8,1.0,738,75.1,0,4,1,1,other,736,0
48,47.9,29.7,1.0,769,11.3,2,22,0,1,medical,741,0
29,79.4,22.1,1.0,641,44.6,0,12,0,1,other,740,0
32,51.5,21.9,1.0,775,67.7,0,61,1,0,auto,760,0
32,41.1,69.5,2.0,759,36.6,1,87,0,1,medical,731,0
44,55.7,9.9,1.0,695,40.6,1,12,1,0,debt_consolidation,739,0
40,140.6,18.4,1.0,816,66.9,0,0,0,1,auto,789,0
53,53.0,30.9,1.0,684,38.1,0,16,2,0,medical,732,0
30,99.5,10.3,1.0,627,12.6,1,33,2,1,auto,726,0
40,115.8,20.2,1.0,652,27.6,0,12,1,0,home_improvement,753,0
53,122.1,6.1,1.0,609,4.9,0,14,0,0,debt_consolidation,764,0
48,62.2,34.9,1.0,819,5.4,1,32,1,0,auto,767,0
26,90.7,33.9,1.0,776,15.9,1,30,1,1,medical,755,1
49,67.2,100.0,1.8,677,37.0,0,21,1,0,home_improvement,711,0
36,27.0,9.7,1.0,658,19.0,0,45,2,1,debt_consolidation,735,0
46,39.7,23.0,1.0,645,15.5,0,41,0,1,debt_consolidation,744,0
45,43.3,21.1,1.0,710,46.5,1,15,0,1,home_improvement,735,0
56,147.8,72.5,1.0,759,31.4,0,130,1,1,debt_consolidation,757,0
43,30.6,17.4,1.0,701,27.8,2,5,0,0,medical,728,0
19,31.7,42.1,1.6,638,48.4,1,68,2,1,debt_consolidation,692,1
25,75.4,5.2,1.0,731,37.5,1,36,2,0,auto,746,0
50,74.3,45.7,1.0,686,27.3,0,29,3,1,auto,723,0
38,54.0,14.7,1.0,846,28.0,1,18,2,1,debt_consolidation,764,0
55,29.2,16.1,1.0,579,34.8,1,10,1,1,debt_consolidation,701,0
45,15.0,48.0,3.8,701,48.3,1,11,1,1,debt_consolidation,715,0
33,127.7,20.2,1.0,696,30.5,0,60,1,1,home_improvement,761,0
54,43.4,21.1,1.0,610,35.7,0,7,0,1,home_improvement,731,0
32,66.4,19.3,1.0,794,23.1,0,3,2,1,debt_consolidation,768,0
18,38.9,29.6,1.0,655,42.2,0,37,3,0,home_improvement,717,0
66,30.8,41.5,1.6,602,9.3,0,48,1,0,debt_consolidation,724,0
19,40.2,22.9,1.0,781,42.4,0,51,2,1,other,755,0
49,108.4,15.1,1.0,695,37.4,1,74,0,1,debt_consolidation,752,0
53,82.4,12.7,1.0,756,45.3,0,1,2,1,auto,759,0
43,204.8,24.3,1.0,664,40.9,1,35,0,0,debt_consolidation,755,0
21,34.0,27.3,1.0,784,19.5,3,3,2,0,other,713,1
54,43.5,54.6,1.5,756,47.1,0,67,0,0,auto,753,0
24,53.4,32.2,1.0,613,38.4,0,18,0,0,auto,731,0
25,91.4,6.3,1.0,675,30.6,0,59,1,1,debt_consolidation,757,0
37,112.7,40.5,1.0,667,36.7,0,85,1,0,home_improvement,743,1
51,31.8,2.8,1.0,651,65.9,0,18,2,0,home_improvement,728,1
45,52.6,26.0,1.0,722,36.6,0,61,1,1,debt_consolidation,751,0
51,35.4,36.2,1.2,674,18.6,0,7,0,0,auto,746,0
36,33.3,23.3,1.0,637,25.3,2,9,0,1,other,707,0
39,84.9,18.6,1.0,744,49.4,1,5,0,1,debt_consolidation,752,0
28,53.1,32.2,1.0,532,17.3,0,5,1,1,medical,704,0
38,69.5,54.9,1.0,826,19.7,0,7,1,0,debt_consolidation,771,0
49,100.5,23.5,1.0,701,7.3,0,4,2,0,debt_consolidation,757,0
38,82.6,21.6,1.0,829,10.4,2,20,2,1,debt_consolidation,751,0
47,164.4,15.3,1.0,653,30.0,1,75,0,1,medical,749,0
35,98.2,13.6,1.0,587,5.1,0,92,1,1,home_improvement,742,0
34,59.4,14.8,1.0,772,26.5,0,193,1,1,home_improvement,775,0
42,41.4,100.0,2.9,619,41.0,0,26,2,1,home_improvement,683,0
39,61.2,18.3,1.0,627,27.3,1,18,1,0,home_improvement,723,0
49,86.8,37.9,1.0,718,24.3,0,22,3,1,other,737,0
44,63.4,41.3,1.0,819,75.8,0,61,3,1,debt_consolidation,742,0
62,31.6,32.4,1.2,737,23.8,0,7,1,1,other,749,0
39,45.4,17.8,1.0,724,25.5,0,5,0,1,debt_consolidation,761,0
39,33.3,41.3,1.5,599,14.6,0,21,0,0,home_improvement,728,0
29,163.8,35.8,1.0,673,33.5,2,2,2,0,auto,717,0
42,92.5,20.6,1.0,672,31.7,0,58,1,0,home_improvement,753,0
50,28.6,56.3,2.4,637,39.8,1,41,3,0,home_improvement,686,0
33,50.5,51.8,1.2,662,18.9,1,70,3,0,debt_consolidation,702,1
41,82.4,17.9,1.0,586,15.4,1,28,0,0,debt_consolidation,729,0
50,67.3,61.9,1.1,732,62.1,1,19,0,0,other,725,0
40,47.6,58.7,1.5,686,48.9,2,60,1,1,debt_consolidation,691,1
35,15.0,65.4,5.2,389,41.0,1,4,2,1,other,628,1
53,114.7,14.0,1.0,745,76.7,0,15,1,1,debt_consolidation,760,0
43,33.9,4.5,1.0,783,57.3,0,18,1,0,home_improvement,769,0
46,101.8,51.6,1.0,719,31.3,1,59,2,1,auto,725,1
56,94.9,32.4,1.0,721,50.7,0,92,3,1,home_improvement,737,0
55,43.7,10.3,1.0,751,42.7,0,96,1,1,debt_consolidation,763,0
37,48.8,7.0,1.0,648,36.4,0,40,1,0,home_improvement,744,1
35,59.4,20.4,1.0,717,39.7,0,45,2,1,home_improvement,743,0
45,46.8,7.0,1.0,772,31.6,0,46,1,0,medical,775,0
40,51.8,28.1,1.0,691,35.4,0,15,0,0,auto,753,0
19,47.9,55.3,1.4,738,74.8,2,2,1,1,home_improvement,695,0
57,143.9,24.9,1.0,692,49.5,0,30,1,1,auto,755,0
42,91.1,24.7,1.0,757,20.6,1,56,1,1,debt_consolidation,755,0
50,29.3,14.2,1.0,685,31.4,0,53,2,0,debt_consolidation,741,0
27,29.0,11.5,1.0,666,35.5,0,33,2,0,debt_consolidation,735,0
57,68.0,28.0,1.0,744,71.7,0,4,1,0,debt_consolidation,750,0
34,82.0,39.2,1.0,741,28.2,0,20,1,0,debt_consolidation,759,0
40,50.1,15.0,1.0,733,21.3,0,1,1,1,other,760,0
25,15.6,19.2,1.5,589,40.3,1,4,0,1,other,704,0
39,127.6,22.1,1.0,754,36.2,0,2,0,0,other,782,0
39,25.6,17.1,1.0,660,27.3,0,1,1,0,auto,739,0
39,55.9,27.6,1.0,654,15.8,0,15,0,1,debt_consolidation,746,1
47,39.3,10.4,1.0,754,47.3,1,56,1,1,debt_consolidation,744,0
42,37.7,33.6,1.1,700,28.0,0,9,0,1,debt_consolidation,746,0
53,28.8,33.6,1.4,628,8.0,1,161,2,1,debt_consolidation,712,0
36,32.3,27.3,1.0,608,42.6,1,23,1,0,debt_consolidation,703,1
30,84.1,4.4,1.0,505,28.4,0,65,1,0,home_improvement,720,0
41,153.8,25.1,1.0,619,29.4,0,17,1,1,debt_consolidation,745,0
49,57.9,12.8,1.0,646,46.0,0,29,2,1,home_improvement,729,0
56,66.4,26.6,1.0,755,19.5,2,25,0,0,debt_consolidation,743,0
51,75.9,31.0,1.0,678,71.2,1,38,0,1,auto,723,0
20,86.3,9.2,1.0,791,19.8,0,62,1,1,debt_consolidation,785,0
46,41.7,65.0,1.9,629,20.8,0,18,0,1,auto,720,0
59,90.1,34.1,1.0,649,43.3,0,36,1,0,debt_consolidation,737,1
42,48.9,53.1,1.3,585,36.7,0,99,4,0,auto,689,1
35,43.3,38.3,1.1,709,49.7,0,2,1,0,home_improvement,738,0
45,15.0,36.6,2.9,850,46.7,2,138,1,0,debt_consolidation,747,1
35,52.5,30.8,1.0,581,46.7,0,48,2,0,other,709,0
49,23.7,13.0,1.0,636,31.0,0,3,0,0,debt_consolidation,742,0
41,68.2,31.0,1.0,714,10.4,1,52,1,1,other,741,0
58,65.4,36.5,1.0,850,28.4,1,4,0,0,medical,773,0
47,27.5,19.1,1.0,653,53.6,0,56,0,1,debt_consolidation,735,0
33,54.0,63.4,1.4,749,10.7,0,41,1,0,home_improvement,748,0
49,45.0,51.4,1.4,633,32.9,0,77,1,0,debt_consolidation,723,0
53,41.5,25.2,1.0,559,17.8,0,26,0,1,home_improvement,722,0
35,73.8,18.1,1.0,657,17.8,0,4,0,0,debt_consolidation,757,1
36,66.3,42.7,1.0,611,43.1,1,13,1,1,medical,699,0
18,39.5,100.0,3.0,674,18.5,0,12,0,1,debt_consolidation,715,0
52,21.2,68.5,3.9,654,43.3,0,16,1,1,medical,711,0
34,77.0,10.4,1.0,674,47.1,1,188,0,1,home_improvement,743,0
18,25.9,12.8,1.0,677,13.3,1,121,2,0,home_improvement,731,0
20,38.7,17.1,1.0,711,62.0,0,37,1,0,auto,745,0
39,52.6,48.4,1.1,490,7.1,0,45,0,0,debt_consolidation,703,0
51,77.4,49.6,1.0,634,16.1,1,8,1,0,debt_consolidation,715,0
40,68.4,15.0,1.0,623,17.5,1,3,2,0,auto,719,1
47,43.3,28.5,1.0,722,33.5,0,47,0,1,debt_consolidation,755,0
28,71.4,14.1,1.0,712,36.9,0,16,1,1,medical,754,0
25,60.8,12.0,1.0,745,29.0,0,46,1,0,home_improvement,770,0
52,144.3,26.5,1.0,753,29.4,0,86,1,1,debt_consolidation,777,0
47,60.3,19.9,1.0,650,18.0,1,310,0,0,debt_consolidation,747,0
41,48.3,22.8,1.0,598,17.4,0,23,1,1,auto,725,0
57,25.6,100.0,4.7,626,49.2,0,39,0,0,auto,703,1
30,47.9,5.3,1.0,623,36.1,0,22,1,1,auto,734,0
36,29.8,30.3,1.2,610,41.2,0,30,0,0,debt_consolidation,727,0
54,19.3,24.7,1.5,761,38.1,0,70,1,0,other,759,0
64,33.9,35.2,1.2,779,64.1,0,14,2,0,home_improvement,744,0
42,90.9,52.2,1.0,658,40.0,0,37,0,1,other,734,0
62,93.2,60.2,1.0,773,49.5,1,8,0,1,debt_consolidation,741,0
34,51.8,22.4,1.0,626,23.7,2,3,0,1,medical,706,0
45,30.4,43.9,1.7,559,65.3,1,23,2,1,medical,669,0
39,40.0,15.8,1.0,513,48.8,3,82,1,1,auto,655,1
22,23.3,23.1,1.2,741,34.8,0,11,1,1,auto,750,0
45,71.6,13.8,1.0,678,42.0,0,10,0,0,auto,757,0
53,78.3,36.2,1.0,488,11.8,0,24,0,0,debt_consolidation,712,0
40,40.4,28.9,1.0,752,52.7,1,4,0,0,debt_consolidation,744,0
41,45.6,13.1,1.0,734,48.8,1,63,0,1,debt_consolidation,747,0
58,47.9,35.9,1.0,564,30.8,0,9,0,0,debt_consolidation,718,0
27,33.8,40.4,1.4,775,27.6,0,11,3,1,medical,739,0
24,64.4,33.3,1.0,774,46.0,0,17,1,0,debt_consolidation,760,0
34,28.2,13.1,1.0,770,49.4,0,6,0,1,debt_consolidation,765,0
27,37.8,68.8,2.2,657,34.4,0,79,0,0,auto,725,0
58,94.7,67.9,1.0,653,48.7,1,34,0,1,auto,708,0
45,37.5,74.7,2.4,645,53.4,1,178,1,1,debt_consolidation,694,0
31,68.2,34.0,1.0,625,14.2,0,36,2,1,home_improvement,724,0
34,92.9,27.1,1.0,816,44.4,0,3,0,0,auto,786,0
76,76.9,8.7,1.0,785,8.8,1,38,3,0,debt_consolidation,760,0
34,88.9,29.5,1.0,640,56.4,0,112,0,1,home_improvement,738,0
32,62.4,19.0,1.0,555,21.7,0,4,0,1,medical,724,0
45,93.3,92.3,1.2,821,69.6,0,3,0,1,debt_consolidation,744,0
49,53.2,14.7,1.0,698,41.0,0,6,1,1,debt_consolidation,748,0
44,27.6,74.7,3.2,670,52.8,0,34,2,1,debt_consolidation,702,0
31,50.0,4.9,1.0,785,25.7,0,24,1,1,debt_consolidation,777,0
28,45.6,35.7,1.0,749,46.3,0,126,0,0,debt_consolidation,762,0
49,22.4,11.6,1.0,714,4.2,0,10,0,1,medical,766,0
41,67.1,24.1,1.0,681,51.3,0,105,1,0,home_improvement,747,0
22,82.8,28.1,1.0,718,57.7,0,21,1,1,other,745,0
56,25.5,12.7,1.0,719,24.4,0,130,0,0,auto,768,0
51,30.6,14.4,1.0,751,40.5,0,11,0,1,other,763,0
39,43.6,19.1,1.0,850,30.2,0,67,1,0,auto,789,0
38,39.3,13.3,1.0,666,44.8,1,140,0,1,auto,733,0
44,104.7,39.8,1.0,676,17.3,1,16,3,0,debt_consolidation,719,1
33,40.3,16.6,1.0,683,6.7,0,65,1,1,home_improvement,750,0
25,63.4,22.3,1.0,743,34.2,0,5,0,0,debt_consolidation,768,0
45,28.1,12.3,1.0,787,37.4,0,81,2,0,auto,766,0
24,43.9,22.7,1.0,741,4.4,2,31,2,1,home_improvement,723,0
46,70.3,21.4,1.0,746,35.2,0,39,3,1,other,746,0
24,34.5,46.6,1.6,657,26.4,0,55,1,0,medical,729,0
40,15.0,79.9,6.4,735,22.2,1,80,1,1,debt_consolidation,722,0
40,66.9,15.6,1.0,768,22.0,0,147,1,0,medical,779,0
63,68.4,28.5,1.0,618,33.7,1,65,2,1,auto,707,0
29,82.1,21.3,1.0,676,9.5,0,66,0,1,debt_consolidation,762,0
25,100.2,21.2,1.0,567,11.4,0,97,1,1,home_improvement,731,0
34,32.7,41.7,1.5,689,34.0,0,15,0,1,debt_consolidation,738,0
28,29.7,34.8,1.4,684,57.8,2,306,2,1,auto,698,1
34,17.4,23.4,1.6,697,26.8,0,2,1,0,home_improvement,746,0
47,68.6,9.0,1.0,608,59.2,0,11,1,1,medical,726,0
51,49.8,21.3,1.0,674,43.8,1,152,1,1,other,726,0
61,43.5,98.7,2.7,558,64.7,0,21,4,1,home_improvement,647,0
33,134.8,27.8,1.0,723,44.2,0,11,0,1,home_improvement,765,0
73,50.5,32.4,1.0,704,33.7,0,54,3,0,debt_consolidation,734,0
65,51.5,9.6,1.0,699,26.6,3,17,0,1,debt_consolidation,715,0
39,40.8,16.9,1.0,556,51.4,0,5,3,0,debt_consolidation,697,0
18,71.3,5.2,1.0,811,62.8,0,7,1,1,home_improvement,774,0
41,38.7,22.1,1.0,582,35.1,0,49,0,1,other,723,0
42,82.7,26.3,1.0,597,23.2,0,59,0,1,medical,737,0
18,124.3,42.0,1.0,795,27.1,1,44,1,0,debt_consolidation,763,0
42,40.3,36.5,1.1,787,43.8,1,5,2,0,auto,735,0
39,101.5,46.4,1.0,842,28.0,0,37,1,1,auto,779,0
32,18.2,69.8,4.6,729,26.8,0,194,0,1,debt_consolidation,746,0
49,52.2,35.1,1.0,827,45.8,0,105,1,0,home_improvement,775,0
54,52.3,41.8,1.0,736,8.0,0,31,2,0,home_improvement,750,0
36,52.2,9.9,1.0,802,62.8,0,35,1,0,other,772,0
44,86.1,19.4,1.0,751,44.5,0,17,2,1,debt_consolidation,755,0
34,206.6,43.3,1.0,772,40.5,1,57,4,1,other,742,0
32,132.1,20.4,1.0,662,7.8,0,20,0,1,debt_consolidation,767,0
42,86.1,10.5,1.0,691,29.3,0,7,1,1,home_improvement,756,0
48,53.5,45.4,1.0,664,57.1,0,30,0,0,medical,732,0
35,36.9,10.7,1.0,760,19.7,1,1,0,1,debt_consolidation,759,0
18,56.2,23.6,1.0,743,3.6,0,237,4,0,debt_consolidation,754,0
